School Name,Collaborative Teachers,Effective School Leadership,Rigorous Instruction,Supportive Environment,Strong Family-Community Ties,Trust,Student Achievement
Orchard Collegiate Academy - [HS] 01M292,4.09,3.64,3.55,3.67,2.76,3.79,3.46
University Neighborhood High School - [HS] 01M448,4.64,4.49,4.42,4.24,3.66,4.5,4.29
East Side Community School - [HS] 01M450,4.59,4.38,4.44,4.3,4.11,4.42,4.86
"New Explorations into Science, Technology and Math High School - [HS] 01M539",3.69,4.2,3.96,4.28,4.2,4.16,4.63
Bard High School Early College - [HS] 01M696,2.82,3.77,4.46,3.96,3.77,3.92,4.58
47 The American Sign Language and English Secondary School - [HS] 02M047,4.02,2.74,3.88,3.69,4.33,3.33,4.26
The Urban Assembly School for Emergency Management - [HS] 02M135,3.06,2.82,3.72,3.28,3.21,2.98,3.31
Stephen T. Mather Building Arts & Craftsmanship High School - [HS] 02M139,4.25,4.65,3.56,3.99,3.7,4.07,3.07
The Clinton School - [HS] 02M260,2.94,3.37,4.22,3.98,2.48,2.96,4.7
Urban Assembly Maker Academy - [HS] 02M282,3.49,3.38,3.14,3.53,3.22,3.63,3.78
Food and Finance High School - [HS] 02M288,2.18,2.75,2.8,2.98,2.9,2.7,3.22
Essex Street Academy - [HS] 02M294,4.43,4.52,4.4,3.92,4.06,4.18,4.43
High School of Hospitality Management - [HS] 02M296,2.86,2.66,2.39,3.27,2.26,3.47,2.74
Pace High School - [HS] 02M298,3.74,3.49,3.8,3.57,3.72,3.57,3.21
"Urban Assembly School of Design and Construction, The - [HS] 02M300",3.54,3.35,2.76,3.62,3.67,4.09,3.01
"Facing History School, The - [HS] 02M303",4.69,4.15,3.96,3.64,3.82,4.07,3.55
"Urban Assembly Academy of Government and Law, The - [HS] 02M305",4.33,4.41,3.67,3.88,4.32,4.13,3.17
Lower Manhattan Arts Academy - [HS] 02M308,3.22,3.53,3.52,3.39,2.79,2.91,3.18
"Urban Assembly School of Business for Young Women, the - [HS] 02M316",3.8,4.08,3.09,3.7,4.5,4.93,2.97
Gramercy Arts High School - [HS] 02M374,3.03,2.98,3.04,3.09,3.1,2.95,3.83
NYC iSchool - [HS] 02M376,4.54,4.43,4.41,4.31,3.83,4.52,4.25
Manhattan Business Academy - [HS] 02M392,4.83,4.48,4.88,4.1,3.51,4.25,3.64
Business Of Sports School - [HS] 02M393,3.64,3.63,3.5,3.13,3.22,3.63,3.23
The High School For Language And Diplomacy - [HS] 02M399,3.36,3.33,2.51,3.2,3.47,3.67,3.01
High School for Environmental Studies - [HS] 02M400,3.71,4.43,3.73,3.3,3.25,3.35,3.35
Institute for Collaborative Education - [HS] 02M407,4.74,4.65,4.44,4.16,3.96,4.29,4.47
Professional Performing Arts High School - [HS] 02M408,3.6,3.55,3.47,3.63,3.24,3.01,4.17
Baruch College Campus High School - [HS] 02M411,3.98,3.38,3.6,4.14,3.05,3.57,4.83
N.Y.C. Lab School for Collaborative Studies - [HS] 02M412,4.46,3.66,4.31,4.02,4.06,4.16,4.44
School of the Future High School - [HS] 02M413,3.39,3.35,4.28,3.8,3.29,2.88,4.71
N.Y.C. Museum School - [HS] 02M414,3.3,3.56,3.82,3.94,3.2,3.66,4.4
Eleanor Roosevelt High School - [HS] 02M416,3.72,3.81,4.33,4.22,3.68,3.91,4.86
Millennium High School - [HS] 02M418,3.4,3.31,3,4.04,2.66,3.58,4.62
Landmark High School - [HS] 02M419,3.49,3.94,3.27,3.13,4.11,3.48,3.32
High School for Health Professions and Human Services - [HS] 02M420,3.38,3.32,3.42,3.39,1.99,3.19,3.78
Quest to Learn - [HS] 02M422,3.25,3.08,3.01,3.42,3.09,3.15,2.94
Leadership and Public Service High School - [HS] 02M425,2.95,2.98,2.47,3.68,3.46,3.12,3.28
Manhattan Academy For Arts & Language - [HS] 02M427,4.37,4.73,4.39,3.86,3.51,3.82,3.21
Murray Hill Academy - [HS] 02M432,4.79,4.38,4.83,3.85,3.05,3.4,3.31
International High School at Union Square - [HS] 02M438,3.71,3.7,3.53,3.63,3.22,4.15,3.68
Manhattan Village Academy - [HS] 02M439,3.58,2.21,4.57,4.18,3.06,3.15,4.66
Vanguard High School - [HS] 02M449,3.74,3.55,3.57,3.51,3.97,3.7,2.94
Manhattan International High School - [HS] 02M459,4.24,4.7,4.52,4.2,3.94,4.14,3.3
Stuyvesant High School - [HS] 02M475,3.21,3.64,4.03,4.24,3.09,3.68,4.99
High School of Economics and Finance - [HS] 02M489,3.48,3.85,3.6,3.81,2.02,2.86,3.7
Unity Center for Urban Technologies - [HS] 02M500,4.17,4.16,3.57,3.92,4.07,4.44,3.95
Talent Unlimited High School - [HS] 02M519,3.27,3.5,3.43,3.34,3.55,3.81,4.28
Jacqueline Kennedy Onassis High School - [HS] 02M529,3.57,3.6,2.31,3.33,3.81,3.8,3.13
Repertory Company High School for Theatre Arts - [HS] 02M531,3.46,3.46,3.42,3.05,3.88,3.59,3.88
Union Square Academy for Health Sciences - [HS] 02M533,4.04,3.86,4.3,4.06,1.77,2.86,3.66
Harvest Collegiate High School - [HS] 02M534,3.78,3.9,3.28,3.79,3.87,3.7,3.61
Manhattan Bridges High School - [HS] 02M542,4.42,3.92,4.84,4.2,3.92,4.02,4.22
New Design High School - [HS] 02M543,3.58,3.93,3.77,3.93,2.89,3.79,3.42
Academy for Software Engineering - [HS] 02M546,3.83,4.36,3.55,3.61,2.39,3.38,3.53
Richard R. Green High School of Teaching - [HS] 02M580,3.38,3.69,3.25,3.79,3.74,4.16,3.21
The High School of Fashion Industries - [HS] 02M600,4.35,3.82,3.88,3.84,3.41,3.79,3.65
Humanities Preparatory Academy - [HS] 02M605,4.87,4.22,4.08,3.92,3.57,4.17,4
Chelsea Career and Technical Education High School - [HS] 02M615,3.03,2.9,3.15,3.26,3.36,3.55,3.76
Art and Design High School - [HS] 02M630,3.15,3.4,3.12,3.2,3.67,3.3,4.03
The High School for Climate Justice - [HS] 02M655,3.94,4.21,2.39,2.84,3.06,3.9,3.28
West End Secondary School - [HS] 03M291,3.2,2.26,4.72,3.91,3.84,3.11,4.55
The Maxine Greene HS for Imaginative Inquiry - [HS] 03M299,3.41,3.56,2.34,3,4.07,2.72,3.14
"Urban Assembly School for Media Studies, The - [HS] 03M307",4.18,3.76,3.76,3.35,4.1,3.72,3.51
The Urban Assembly School for Green Careers - [HS] 03M402,3.31,3.1,3.94,3.09,1.79,2.28,3.41
The Global Learning Collaborative - [HS] 03M403,4.31,3.97,3.25,3.62,3.04,4.02,3.14
Wadleigh Secondary School for the Performing & Visual Arts - [HS] 03M415,3.3,3.2,2.23,2.88,2.52,2.94,4
Frank McCourt High School - [HS] 03M417,4.09,3.51,3.56,3.37,3.26,3.33,3.96
Beacon High School - [HS] 03M479,2.69,2.91,3.52,3.7,2.43,2.29,4.49
"High School for Law, Advocacy and Community Justice - [HS] 03M492",3.34,2.59,3.62,2.76,3.18,1.66,3.36
High School of Arts and Technology - [HS] 03M494,1.92,1.95,1.88,2.85,3.55,2.84,3.22
Manhattan / Hunter Science High School - [HS] 03M541,3,3.76,4.32,4.21,3.08,3.39,4.66
Young Women's Leadership School - [HS] 03M610,4.23,3.97,3.86,3.51,2.89,3.44,4.21
Special Music School - [HS] 03M859,4.55,4.45,4.97,4.43,4.2,3.97,4.87
Frederick Douglass Academy II Secondary School - [HS] 03M860,3.18,3.36,2.87,3.95,2.95,2.57,3.52
Esperanza Preparatory Academy - [HS] 04M372,3.53,3.54,3.35,3.47,2.62,3.02,3.63
Manhattan Center for Science and Mathematics - [HS] 04M435,4.93,4.86,4.94,4.49,3.18,4.52,4.36
Park East High School - [HS] 04M495,4.29,3.93,4.02,4.11,3.89,3.95,4.46
Central Park East High School - [HS] 04M555,4.43,3.81,4.77,4.34,3.72,4.04,4.57
"Heritage School, The - [HS] 04M680",3.55,3.51,2.25,3.54,3.8,2.99,3.11
Eagle Academy for Young Men of Harlem - [HS] 05M148,3.49,3.94,3.27,3.74,2.13,2.97,3.47
The Urban Assembly School for Global Commerce - [HS] 05M157,3.15,3.73,2.61,3.75,3.77,3.64,2.84
Mott Hall High School - [HS] 05M304,3.56,3.57,2.7,3.13,3.04,3.59,3.27
Urban Assembly School for the Performing Arts - [HS] 05M369,2.6,2.6,3.09,2.71,2.51,2.13,3.03
Frederick Douglass Academy - [HS] 05M499,2.82,2.52,2.22,2.58,1.58,3.05,2.91
Thurgood Marshall Academy for Learning and Social Change - [HS] 05M670,4.07,3.62,3.14,3.96,2.77,3.24,3.11
"High School for Mathematics, Science and Engineering at City College - [HS] 05M692",4.11,4.03,4.69,4.39,3.42,4.11,4.99
Inwood Early College for Health and Information Technologies - [HS] 06M211,2.6,3.29,2.63,3.52,4.25,3.72,3.17
City College Academy of the Arts - [HS] 06M293,3.19,2.91,3.22,3.5,3.67,3.73,3.93
Community Health Academy of the Heights - [HS] 06M346,4.66,4.5,3.77,4.16,4.82,4.51,3.46
Washington Heights Expeditionary Learning School - [HS] 06M348,3.76,3.96,4.57,3.88,3.91,3.98,3.52
The College Academy - [HS] 06M462,4.01,4.52,3.7,3.6,4.13,3.84,4.08
High School for Media and Communications - [HS] 06M463,3.66,3.55,2.9,3.32,4.1,3.97,3.24
High School for Law and Public Service - [HS] 06M467,2.83,3.03,2.82,2.88,4.13,3.45,2.95
High School for Health Careers and Sciences - [HS] 06M468,3.46,3.92,3.56,3.58,4.35,3.8,3.06
A. Philip Randolph Campus High School - [HS] 06M540,3.39,3.34,2.66,3.03,2.17,2.77,2.82
Gregorio Luperon High School for Science and Mathematics - [HS] 06M552,3.62,4.03,3.72,4.08,4.32,4.1,3.89
Democracy Preparatory Harlem Charter School - [HS] 84M481,3.48,3.41,3.02,3.18,3.63,2.59,3.14
Harlem Prep Charter School - [HS] 84M708,3.58,3.18,3,3.15,3.8,3.24,3.09